State,Initial,Population,Index,Violent,Property,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto,Region,Row,Column
Alabama,AL,"3,510,000",2394.5,313.2,2081.3,14.1,18.8,68.6,211.7,789.6,1096.7,195,South,6,7
Alaska,AK,"325,000",4478.5,370.5,4108,9.5,41.8,66.5,252.6,970.8,2639.1,498.2,West,0,0
Arizona,AZ,"1,945,000",5933.3,448.9,5484.4,7.3,33.4,120.8,287.4,1615.9,3438.7,429.8,West,5,2
Arkansas,AR,"1,978,000",2352.4,244.7,2107.7,10.4,17.3,54.8,162.2,735.1,1258.4,114.2,South,5,5
California,CA,"20,468,000",6413.1,540.7,5872.4,8.8,39.7,238.6,253.7,1949.2,3242,681.3,West,4,1
Colorado,CO,"2,357,000",5593.6,405.4,5188.2,8.3,38.4,141.4,217.3,1580.1,3018.8,589.3,West,4,3
Connecticut,CT,"3,082,000",3403.1,199.2,3203.9,3.2,8.9,79.1,107.9,956.8,1778,469.1,Northeast,3,10
Delaware,DE,"565,000",4523.7,386,4137.7,6.9,14.2,130.1,234.9,1249.4,2397.2,491.2,Northeast,5,9
Florida,FL,"7,259,000",5376.9,554.5,4822.3,12.7,26.4,189.4,326,1605.1,2851.1,366.1,South,7,9
Georgia,GA,"4,720,000",3051.8,377.6,2674.2,18.5,20.8,134.3,204,1081.7,1285.8,306.7,South,6,8
Hawaii,HI,"809,000",4612.5,155.5,4457,6.8,21.3,55.4,72.1,1335.6,2723,398.4,West,7,1
Idaho,ID,"756,000",3420.4,143.5,3276.9,3.8,15.6,20.6,103.4,754.6,2338.4,183.9,West,2,2
Illinois,IL,"11,251,000",3791.1,508.1,3283.1,8.8,23.3,260.1,215.9,846.1,1994,443,Midwest,2,6
Indiana,IN,"5,291,000",3409.7,245.1,3164.6,6.1,22.5,111.1,105.4,948.4,1850.7,365.5,Midwest,3,6
Iowa,IA,"2,883,000",2531.7,87.4,2444.4,1.7,8.6,26.7,50.3,521.6,1753.7,169.1,Midwest,3,5
Kansas,KS,"2,258,000",3404.8,209.8,3195,4,17.8,68.9,119.1,906.6,2056.4,232,Midwest,5,4
Kentucky,KY,"3,299,000",2233.6,225.7,2007.9,9.8,15.7,83.2,117.1,650.2,1075.9,281.8,South,4,6
Louisiana,LA,"3,720,000",3382.5,422.4,2960.2,13.2,23,133.4,252.8,903.1,1700.6,356.4,South,6,5
Maine,ME,"1,029,000",2590.6,111.1,2479.5,5.3,7.8,21.1,76.9,792.5,1524.6,162.4,Northeast,0,11
Maryland,DE,"4,056,000",4628.7,651.2,3977.5,12.5,26,324.1,288.6,1111.7,2331.6,534.2,South,4,9
Massachusetts,MA,"5,787,000",4107.1,295.2,3811.8,3.7,13.5,152.8,125.2,1242.3,1597.1,972.4,Northeast,2,11
Michigan,MI,"9,082,000",5363.6,555.2,4808.3,11,29.3,289.3,225.6,1582.3,2752,473.9,Midwest,2,8
Minnesota,MN,"3,896,000",3354.1,174.5,3179.6,2.4,14.7,84.4,72.9,927.2,1915.1,337.3,Midwest,2,5
